[0:0:4] (PlayerName:Denver_Morata | UserName:denver) :gate
[0:0:4] (PlayerName:Kane_Sanders | UserName:LasDos) :supervise
[0:0:5] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
[0:0:5] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:0:5] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:0:7] (PlayerName:Sam_Teller | UserName:Attali) :idle
[0:0:9] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:9] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:16] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:16] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:17] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:18] (PlayerName:Kane_Sanders | UserName:LasDos) :supervise
[0:0:20] (PlayerName:Denver_Morata | UserName:denver) :gate
[0:0:21] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:21] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:24] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:26] (PlayerName:Kane_Sanders | UserName:LasDos) :gotomark
[0:0:28] (PlayerName:Emily_Black | UserName:emilyblack12) :LSPD W9F 3LIMN O TFI MOTOR
[0:0:30] (PlayerName:Emily_Black | UserName:emilyblack12) :BACKUP
[0:0:30] (PlayerName:Kane_Sanders | UserName:LasDos) :cr 4
[0:0:31] (PlayerName:Emily_Black | UserName:emilyblack12) :gate salam
[0:0:32] (PlayerName:Denver_Morata | UserName:denver) :cpr
[0:0:32] (PlayerName:Emily_Black | UserName:emilyblack12) :friends
[0:0:32] (PlayerName:Emily_Black | UserName:emilyblack12) :gate salam
[0:0:34] (PlayerName:Kane_Sanders | UserName:LasDos) :cr 3
[0:0:35] (PlayerName:Denver_Morata | UserName:denver) :me kaychouf malha 
[0:0:37] (PlayerName:Emily_Black | UserName:emilyblack12) :gate
