[0:0:0] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:0:21] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon  9
[0:0:24] (PlayerName:Sam_Teller | UserName:Attali) :handshake 1
[0:0:24] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:0:30] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:0:31] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:0:32] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:0:39] (PlayerName:Sam_Teller | UserName:Attali) :handshake 1
[0:0:42] (PlayerName:Sam_Teller | UserName:Attali) :handshake 1
[0:0:53] (PlayerName:Liamsi_Infero | UserName:hellboy) :Me Kisaade Veh  / Ki7al Veh 
[0:0:55] (PlayerName:Liamsi_Infero | UserName:hellboy) :Me Kisaade Veh  / Ki7al Veh 
[0:1:8] (PlayerName:Liamsi_Infero | UserName:hellboy) :seatbelt
[0:1:20] (PlayerName:Scott_Lopez | UserName:haytamix) :ar 1
[0:1:25] (PlayerName:Scott_Lopez | UserName:haytamix) :ri 1
[0:1:28] (PlayerName:Scott_Lopez | UserName:haytamix) :goto Liamsi_Infero
[0:1:37] (PlayerName:Kylian_Parto | UserName:chaka) :friends
[0:1:40] (PlayerName:Kylian_Parto | UserName:chaka) :friends
[0:2:0] (PlayerName:Sam_Teller | UserName:Attali) :park
[0:2:19] (PlayerName:Liamsi_Infero | UserName:hellboy) :er
[0:2:25] (PlayerName:Liamsi_Infero | UserName:hellboy) :salut
[0:2:25] (PlayerName:Liamsi_Infero | UserName:hellboy) :handsup
[0:2:28] (PlayerName:Recardo_Ringo | UserName:badr) :friends
[0:2:29] (PlayerName:Recardo_Ringo | UserName:badr) :friends
[0:2:30] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon  10
[0:2:32] (PlayerName:Recardo_Ringo | UserName:badr) :friends
[0:2:32] (PlayerName:Recardo_Ringo | UserName:badr) :friends
[0:2:36] (PlayerName:Recardo_Ringo | UserName:badr) :friends
[0:2:44] (PlayerName:Recardo_Ringo | UserName:badr) :friends
[0:2:47] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :ar 1
[0:2:55] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :goto  rec
[0:2:59] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon  
[0:3:3] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :goto  rec
[0:3:45] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:3:51] (PlayerName:LSRP_Player#4854 | UserName:) :me kaymintoo!!
[0:4:0] (PlayerName:Scott_Lopez | UserName:haytamix) :cr
[0:4:2] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :cr
[0:4:20] (PlayerName:Recardo_Ringo | UserName:badr) :er
[0:4:22] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoplace ls
[0:4:25] (PlayerName:Scott_Lopez | UserName:haytamix) :admin
[0:4:26] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :spec 8
[0:4:26] (PlayerName:Scott_Lopez | UserName:haytamix) :admin
[0:4:27] (PlayerName:Scott_Lopez | UserName:haytamix) :admin
[0:4:28] (PlayerName:Scott_Lopez | UserName:haytamix) :home
[0:4:29] (PlayerName:Scott_Lopez | UserName:haytamix) :home
[0:4:31] (PlayerName:Scott_Lopez | UserName:haytamix) :staffs
[0:4:32] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon 8
[0:4:35] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:4:37] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:4:37] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:4:45] (PlayerName:Josef_Descender | UserName:N1CHO) :glue
[0:5:2] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :spec 1
[0:5:7] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon 1
[0:5:41] (PlayerName:Kylian_Parto | UserName:chaka) :quitjob
[0:5:50] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoplace LS
[0:6:42] (PlayerName:Scott_Lopez | UserName:haytamix) :tired
[0:6:54] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon 2
[0:6:57] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon 3
[0:7:9] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon 5
[0:7:10] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :me kaymintoo!!
[0:7:21] (PlayerName:Scott_Lopez | UserName:haytamix) :takesafe
[0:7:25] (PlayerName:Scott_Lopez | UserName:haytamix) :sellproperty
[0:7:35] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :m LSDP !! W9ef 3el Limen ou sket Lmotorr
[0:7:38] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :gate
[0:8:2] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :pm '
[0:8:6] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :wait
[0:8:6] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :wait
[0:8:7] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :wait
[0:8:7] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :wait
[0:8:13] (PlayerName:Scott_Lopez | UserName:haytamix) :gate
[0:8:13] (PlayerName:Scott_Lopez | UserName:haytamix) :gate
[0:8:13] (PlayerName:Scott_Lopez | UserName:haytamix) :ar 1
[0:8:13] (PlayerName:Scott_Lopez | UserName:haytamix) :ar 1
[0:8:16] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :ar
[0:8:23] (PlayerName:Scott_Lopez | UserName:haytamix) :goto Alonzo_Deriyo
[0:8:43] (PlayerName:Scott_Lopez | UserName:haytamix) :respawnveh
[0:9:5] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :respawnaall
[0:9:14] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :respawnall
[0:9:28] (PlayerName:Scott_Lopez | UserName:haytamix) :respawnvehs
[0:9:34] (PlayerName:LSRP_Player#9213 | UserName:) :friends
[0:9:40] (PlayerName:Kylian_Parto | UserName:chaka) :home
[0:9:40] (PlayerName:Alonzo_Deriyo | UserName:aminelmerda) :er
[0:9:40] (PlayerName:LSRP_Player#9213 | UserName:denver) :friends
[0:9:42] (PlayerName:Kylian_Parto | UserName:chaka) :home
[0:10:20] (PlayerName:Josef_Descender | UserName:N1CHO) :report
[0:10:23] (PlayerName:Josef_Descender | UserName:N1CHO) :gate password
[0:10:34] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :goto 1
[0:10:34] (PlayerName:Scott_Lopez | UserName:haytamix) :gate
[0:10:34] (PlayerName:Scott_Lopez | UserName:haytamix) :ar 1
[0:10:34] (PlayerName:Scott_Lopez | UserName:haytamix) :gate
[0:10:34] (PlayerName:Scott_Lopez | UserName:haytamix) :ar 1
[0:10:37] (PlayerName:Recardo_Ringo | UserName:badr) :er
[0:10:39] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :recon
[0:10:43] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :goto 1
[0:10:47] (PlayerName:Scott_Lopez | UserName:haytamix) :goto 6
[0:11:2] (PlayerName:Liamsi_Infero | UserName:hellboy) :Me Kisaade Veh  / Ki7al Veh 
[0:11:9] (PlayerName:Liamsi_Infero | UserName:hellboy) :seatbelt
[0:11:11] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :gotoveh 55
[0:11:17] (PlayerName:Scott_Lopez | UserName:haytamix) :fuelveh
[0:11:26] (PlayerName:Scott_Lopez | UserName:haytamix) :fuelveh 6 100
[0:11:34] (PlayerName:Emilio_Valdermino | UserName:MoroccanDude) :respawnall 10
[0:11:35] (PlayerName:Scott_Lopez | UserName:haytamix) :fixveh 6
[0:11:43] (PlayerName:Josef_Descender | UserName:N1CHO) :er
[0:11:43] (PlayerName:Liamsi_Infero | UserName:hellboy) :Me Kisaade Veh  / Ki7al Veh 
