[0:0:2] (PlayerName:Kane_Sanders | UserName:LasDos) :freecam
[0:0:2] (PlayerName:Josef_Descender | UserName:N1CHO) :f zid f sot dyalk
[0:0:4] (PlayerName:Gavin_Newsom | UserName:oussama) :fuelveh
[0:0:9] (PlayerName:Josef_Descender | UserName:N1CHO) :f zid f sot dyalk
[0:0:17] (PlayerName:Josef_Descender | UserName:N1CHO) :f aha ok
[0:0:29] (PlayerName:Josef_Descender | UserName:N1CHO) :f kifach ghan3amr dakchi?
[0:0:37] (PlayerName:Josef_Descender | UserName:N1CHO) :f fuel  d tyara hhhhhhhhhhhh
[0:0:41] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:0:51] (PlayerName:Kane_Sanders | UserName:LasDos) :recon Antoine_Miller
[0:1:0] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:1:41] (PlayerName:Josef_Descender | UserName:N1CHO) :f kifach ghan3amr l fuel?
[0:1:49] (PlayerName:Antoine_Miller | UserName:ilyaslol) :pay 13 2318
[0:2:10] (PlayerName:ZOUHIR_TWIN | UserName:zouhir) :home
[0:2:11] (PlayerName:ZOUHIR_TWIN | UserName:zouhir) :home
[0:2:11] (PlayerName:Orland_Anderson | UserName:9wi9iza) :fish
[0:2:11] (PlayerName:Orland_Anderson | UserName:9wi9iza) :gate throttle
[0:2:17] (PlayerName:ZOUHIR_TWIN | UserName:zouhir) :home
[0:2:19] (PlayerName:ZOUHIR_TWIN | UserName:zouhir) :home
[0:2:36] (PlayerName:ZOUHIR_TWIN | UserName:zouhir) :apps
[0:2:37] (PlayerName:William_Sdog | UserName:aminelmerda) :tgospeed 10
[0:2:38] (PlayerName:ZOUHIR_TWIN | UserName:zouhir) :apps
[0:2:42] (PlayerName:William_Sdog | UserName:aminelmerda) :togspeed 10
[0:2:47] (PlayerName:William_Sdog | UserName:aminelmerda) :togspeed 10
[0:2:51] (PlayerName:William_Sdog | UserName:aminelmerda) :togspeed 20
[0:2:55] (PlayerName:William_Sdog | UserName:aminelmerda) :togspeed 75
[0:3:26] (PlayerName:Gavin_Newsom | UserName:oussama) :fuelveh
[0:3:29] (PlayerName:Josef_Descender | UserName:N1CHO) :f id 28
[0:3:34] (PlayerName:Gavin_Newsom | UserName:oussama) :fuelveh  28 8000
[0:3:37] (PlayerName:Josef_Descender | UserName:N1CHO) :f ah
[0:3:42] (PlayerName:ZOUHIR_TWIN | UserName:zouhir) :apps
[0:3:47] (PlayerName:Josef_Descender | UserName:N1CHO) :f ila mkntich f serv?
[0:4:0] (PlayerName:Josef_Descender | UserName:N1CHO) :f hhh 
[0:4:8] (PlayerName:Josef_Descender | UserName:N1CHO) :f hhhhhhhhhhhhhh
[0:4:25] (PlayerName:Josef_Descender | UserName:N1CHO) :f hhh ma7
[0:4:41] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:4:44] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:4:47] (PlayerName:Josef_Descender | UserName:N1CHO) :f hhhhhhhhhhhhhhhhhhhhhhhhhhh kayna faction d tyara hhhhhh
[0:4:53] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:4:53] (PlayerName:Josef_Descender | UserName:N1CHO) :f weld khalti f rp
[0:4:56] (PlayerName:Josef_Descender | UserName:N1CHO) :f aha ok
[0:5:4] (PlayerName:Josef_Descender | UserName:N1CHO) :f hhhhhhhhhhhhhhhhhh
[0:5:6] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:5:18] (PlayerName:Michael_Montana | UserName:Mezrari) :getveh 191
[0:5:19] (PlayerName:William_Sdog | UserName:aminelmerda) :cctv
[0:5:24] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:5:27] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:5:43] (PlayerName:Antoine_Miller | UserName:ilyaslol) :fpark
[0:5:45] (PlayerName:Kane_Sanders | UserName:LasDos) :is oussama safi rj3ti hh ?
[0:5:52] (PlayerName:Gavin_Newsom | UserName:oussama) :is fin
[0:5:56] (PlayerName:Gavin_Newsom | UserName:oussama) :aduty
[0:6:6] (PlayerName:Kane_Sanders | UserName:LasDos) :f rp
[0:6:7] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:6:11] (PlayerName:Kane_Sanders | UserName:LasDos) :is rp hh
[0:6:21] (PlayerName:Kane_Sanders | UserName:LasDos) :recon Gavin_Newsom
[0:6:24] (PlayerName:Gavin_Newsom | UserName:oussama) :is  ana m3arfch rasi wach knrp daba wlala
