[0:0:0] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:0:0] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:0:3] (PlayerName:Denver_Morata | UserName:denver) :wait
[0:0:4] (PlayerName:Javier_Hescula | UserName:oussama) :recon Frank_Pezzulo
[0:0:7] (PlayerName:Denver_Morata | UserName:denver) :wait
[0:0:8] (PlayerName:Javier_Hescula | UserName:oussama) :recon
[0:0:12] (PlayerName:Mosatafa_Apatchi | UserName:MOSTAFA) :f wa 3ffft
[0:0:16] (PlayerName:Flawless_Spelman | UserName:flawless) :carchat
[0:0:17] (PlayerName:Javier_Hescula | UserName:oussama) :f li kant rakb m3ah 
[0:0:22] (PlayerName:Javier_Hescula | UserName:oussama) :f rah tra liya mochkil
[0:0:29] (PlayerName:Flawless_Spelman | UserName:flawless) :heal 28 20
[0:0:30] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:0:30] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:0:31] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:0:31] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:0:33] (PlayerName:William_Sdog | UserName:aminelmerda) :f hda taxiyat 
[0:0:37] (PlayerName:William_Sdog | UserName:aminelmerda) :f finek nji 3Ndek
[0:0:38] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:0:38] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:0:38] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:0:38] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:0:40] (PlayerName:Conor_Clover | UserName:REXdoom77) :unpownd
[0:0:40] (PlayerName:Denver_Morata | UserName:denver) :heal 28 20
[0:0:41] (PlayerName:Josef_Descender | UserName:N1CHO) :f ki jatk hhhhhhhhhhh
[0:0:42] (PlayerName:Conor_Clover | UserName:REXdoom77) :unpond
[0:0:43] (PlayerName:LSRP_Player#1608 | UserName:) :gate
[0:0:43] (PlayerName:LSRP_Player#1608 | UserName:) :gate
[0:0:44] (PlayerName:Michael_Montana | UserName:Mezrari) :f dyalk?
[0:0:45] (PlayerName:LSRP_Player#1608 | UserName:) :gate
[0:0:47] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:0:47] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:0:47] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:0:48] (PlayerName:Josef_Descender | UserName:N1CHO) :f nn 
[0:0:49] (PlayerName:Yone_Fizi | UserName:shanki1z) :dive
[0:0:52] (PlayerName:Conor_Clover | UserName:REXdoom77) :arrest veh
[0:0:55] (PlayerName:Michael_Montana | UserName:Mezrari) :f olach jaybni liha
[0:0:56] (PlayerName:Josef_Descender | UserName:N1CHO) :f a 3jbatni waritha lik
[0:0:57] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :gate
[0:0:57] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :me opening/close the door
[0:0:57] (PlayerName:Tommy_Hazard | UserName:MrKarim) :stopanim
[0:0:58] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:1:2] (PlayerName:Taylor_Clinton | UserName:cl1) :gate
[0:1:2] (PlayerName:Frank_Pezzulo | UserName:ErenSenpai) :cctv
[0:1:3] (PlayerName:Josef_Descender | UserName:N1CHO) :f tchriha 
[0:1:5] (PlayerName:Joe_Miller | UserName:badr) :me kandemaree / kanskt tomo
[0:1:6] (PlayerName:Joe_Miller | UserName:badr) :me kandemaree / kanskt tomo
[0:1:9] (PlayerName:Joe_Miller | UserName:badr) :me kandemaree / kanskt tomo
[0:1:9] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:1:10] (PlayerName:Ahmed_Nefha | UserName:MBARK) :tweet
[0:1:10] (PlayerName:Josef_Descender | UserName:N1CHO) :f ila ma3ndkch dar
[0:1:11] (PlayerName:Michael_Montana | UserName:Mezrari) :f nn anwrik dar li ghadi nchri ana
[0:1:14] (PlayerName:William_Sdog | UserName:aminelmerda) :togspeed 70
[0:1:18] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:1:19] (PlayerName:Michael_Montana | UserName:Mezrari) :f aji 3ndi
[0:1:26] (PlayerName:Orland_Anderson | UserName:9wi9iza) :SIT
[0:1:28] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :d 1
[0:1:29] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 11
[0:1:32] (PlayerName:Conor_Clover | UserName:REXdoom77) :meg Wgef 3la limen wgef m3ak Lspd tfi lengine
[0:1:32] (PlayerName:Conor_Clover | UserName:REXdoom77) :M3ak LSPD  W9ef Lveh Dyalk Limen  Wskt Lmotor
[0:1:32] (PlayerName:Conor_Clover | UserName:REXdoom77) :m M3ak LSPD W9ef 3el Limen W Skt Lengine
[0:1:35] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:1:37] (PlayerName:Moza_Diaz | UserName:moza) :graffiti
[0:1:38] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:1:38] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:1:39] (PlayerName:Michael_Montana | UserName:Mezrari) :fixveh Michael_Montana
[0:1:42] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:1:42] (PlayerName:Michael_Montana | UserName:Mezrari) :f rah 3ndk lag
[0:1:45] (PlayerName:William_Sdog | UserName:aminelmerda) :backup
[0:1:46] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:1:46] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:1:47] (PlayerName:Eric_Geostrica | UserName:CHLH) :is karim rah tglitchat li mta
[0:1:49] (PlayerName:Scott_Lopez | UserName:haytamix) :goto Bator_Gaviria
[0:1:57] (PlayerName:Denver_Morata | UserName:denver) :status msahed
[0:1:58] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:2:0] (PlayerName:Conor_Clover | UserName:REXdoom77) :backup
[0:2:1] (PlayerName:Eric_Geostrica | UserName:CHLH) :is fin ntp bach nkmlo action rah htoni f dar
[0:2:3] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me kayt33wej chwia f mchyto
[0:2:5] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoplace ls 36
[0:2:6] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:2:6] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:2:11] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 30
[0:2:13] (PlayerName:Scott_Lopez | UserName:haytamix) :gotoplace ls 36
[0:2:18] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:2:20] (PlayerName:Moza_Diaz | UserName:moza) :seefar 500
[0:2:22] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:2:23] (PlayerName:Moza_Diaz | UserName:moza) :seefar 22500
[0:2:27] (PlayerName:Moza_Diaz | UserName:moza) :seefar 20000
[0:2:29] (PlayerName:Mosatafa_Apatchi | UserName:MOSTAFA) :/aim
[0:2:35] (PlayerName:Fezed_Gaviria | UserName:faouzi) :clearchat
[0:2:35] (PlayerName:Fezed_Gaviria | UserName:faouzi) :me
[0:2:36] (PlayerName:Eric_Geostrica | UserName:CHLH) :recon 11
[0:2:39] (PlayerName:Scott_Lopez | UserName:haytamix) :goto Bator_Gaviria
[0:2:41] (PlayerName:Eric_Geostrica | UserName:CHLH) :is wa dwi fast
[0:2:48] (PlayerName:Flawless_Spelman | UserName:flawless) :carchat
[0:2:51] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
[0:2:52] (PlayerName:Daniel_Miller | UserName:Khaled) :clearchat
[0:2:52] (PlayerName:Flawless_Spelman | UserName:flawless) :friends
[0:2:55] (PlayerName:Tommy_Hazard | UserName:MrKarim) :stopanim
[0:2:57] (PlayerName:Kassou_Abderahman | UserName:Queeesu) :fp
[0:2:58] (PlayerName:Fezed_Gaviria | UserName:faouzi) :WAIT
