[0:0:2] (PlayerName:Mark_Walker | UserName:haytemsniper) :graffiti
[0:0:19] (PlayerName:Yone_Fizi | UserName:shanki1z) :box 3
[0:0:25] (PlayerName:Mario_Latino | UserName:marouane) :home
[0:0:25] (PlayerName:Mario_Latino | UserName:marouane) :home
[0:0:32] (PlayerName:Tommy_Diaz | UserName:FADEL) :status
[0:0:37] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:0:49] (PlayerName:Mark_Walker | UserName:haytemsniper) :moto
[0:0:53] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:0:56] (PlayerName:Mario_Latino | UserName:marouane) :home
[0:0:56] (PlayerName:Mario_Latino | UserName:marouane) :home
[0:1:1] (PlayerName:Mario_Latino | UserName:marouane) :home
[0:1:1] (PlayerName:Mario_Latino | UserName:marouane) :home
[0:1:1] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :LSPD, pull over and turn off your engine now!
[0:1:2] (PlayerName:Tommy_Diaz | UserName:FADEL) :gotoveh 299
[0:1:2] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :LSPD, pull over and turn off your engine now!
[0:1:17] (PlayerName:Evan_Henry | UserName:AnaSs) :wait
[0:1:19] (PlayerName:Tommy_Diaz | UserName:FADEL) :lay 2
[0:1:24] (PlayerName:Padre_Rodriguez | UserName:Edward) :park
[0:1:45] (PlayerName:Leon_Miller | UserName:laarbi12) :f g.n
[0:1:50] (PlayerName:Antoine_Miller | UserName:ilyaslol) :f gg
[0:1:50] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:51] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:51] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:51] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:51] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:51] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:51] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:52] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:52] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:52] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:52] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:52] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:52] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:53] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:53] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:53] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:53] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:53] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:54] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:54] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:54] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:54] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:54] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:55] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:55] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:55] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:55] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:55] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:1:55] (PlayerName:Mark_Walker | UserName:haytemsniper) :dive
[0:2:0] (PlayerName:Mark_Walker | UserName:haytemsniper) :graffiti
[0:2:3] (PlayerName:Mark_Walker | UserName:haytemsniper) :graffiti
[0:2:9] (PlayerName:Joe_Miller | UserName:badr) :g good night
[0:2:10] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :recon jo
[0:2:12] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :recon jose
[0:2:14] (PlayerName:Joe_Miller | UserName:badr) :f good n
[0:2:15] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :recon
[0:2:17] (PlayerName:Joe_Miller | UserName:badr) :me kanft7 / kanssd jib
[0:2:19] (PlayerName:Joe_Miller | UserName:badr) :me kanft7 / kanssd jib
[0:2:28] (PlayerName:Joe_Miller | UserName:badr) :me kanft7 / kanssd jib
[0:2:33] (PlayerName:Joe_Miller | UserName:badr) :me kanft7 / kanssd jib
[0:2:34] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :recon jose
[0:2:37] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :recon
[0:2:42] (PlayerName:LSRP_Player#6261 | UserName:) :friends
[0:2:42] (PlayerName:Joe_Miller | UserName:badr) :me kanft7 / kanssd jib
