[0:0:4] (PlayerName:Orland_Anderson | UserName:9wi9iza) :f safi tanriglih 
[0:0:6] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:0:6] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:0:8] (PlayerName:Carlos_Delaro | UserName:Milfay11) :friends
[0:0:11] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:0:13] (PlayerName:Carlos_Delaro | UserName:Milfay11) :friends
[0:0:20] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:0:20] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:0:26] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:0:26] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:0:26] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:0:29] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:0:29] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:0:33] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:0:36] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:0:37] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:0:37] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:0:41] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:0:48] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:0:48] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:0:56] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:0:56] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:1:8] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:1:8] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:1:11] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:1:16] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:1:16] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:1:18] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:1:26] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:1:26] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:1:28] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:1:32] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:1:32] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:1:37] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:1:39] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:1:39] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:1:43] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:1:43] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:1:43] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:1:50] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:1:50] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:2:1] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:2:5] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:2:5] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:2:11] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:2:14] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:2:14] (PlayerName:Bruce_Parker | UserName:abdouzaza) :duty
[0:2:15] (PlayerName:Bruce_Parker | UserName:abdouzaza) :duty
[0:2:16] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:2:16] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:2:24] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:2:29] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:2:31] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:2:31] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:2:38] (PlayerName:Lokino_Battreal | UserName:LOKINO) :wait
[0:2:42] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:2:43] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:2:45] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:2:45] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:2:51] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:2:51] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:2:52] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:2:52] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:2:53] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:2:53] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:2:56] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:2:57] (PlayerName:Bruce_Parker | UserName:abdouzaza) :c
[0:2:57] (PlayerName:LSRP_Player#4904 | UserName:mostafamarsou) :friends
[0:2:59] (PlayerName:Bruce_Parker | UserName:abdouzaza) :c test
[0:2:59] (PlayerName:Lokino_Battreal | UserName:LOKINO) :wait
[0:3:1] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:3:1] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:3:1] (PlayerName:Moza_Diaz | UserName:moza) :is jail id 3 troll
[0:3:3] (PlayerName:Bruce_Parker | UserName:abdouzaza) :c zbi
[0:3:7] (PlayerName:Moza_Diaz | UserName:moza) :fu
[0:3:8] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:3:8] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:3:8] (PlayerName:Moza_Diaz | UserName:moza) :fu
[0:3:8] (PlayerName:Bruce_Parker | UserName:abdouzaza) :lc test
[0:3:10] (PlayerName:Bruce_Parker | UserName:abdouzaza) :cmds
[0:3:11] (PlayerName:Moza_Diaz | UserName:moza) :is jail id 3 troll
[0:3:11] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:3:12] (PlayerName:Paul_Robert | UserName:Adnane) :f Bruce_Parker badge dyalk ach mktob fih deputy ola chno
[0:3:12] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:3:13] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:3:13] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:3:13] (PlayerName:Moza_Diaz | UserName:moza) :fu
[0:3:15] (PlayerName:Moza_Diaz | UserName:moza) :fu
[0:3:16] (PlayerName:Moza_Diaz | UserName:moza) :fu
[0:3:18] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :RECON 3
[0:3:19] (PlayerName:Bruce_Parker | UserName:abdouzaza) :f deputy 20
[0:3:21] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :recon 3
[0:3:23] (PlayerName:Yone_Fizi | UserName:shanki1z) :animselect
[0:3:26] (PlayerName:LSRP_Player#7312 | UserName:) :gate
[0:3:26] (PlayerName:LSRP_Player#7312 | UserName:) :gate
[0:3:28] (PlayerName:LSRP_Player#7312 | UserName:) :gate
[0:3:28] (PlayerName:Lokino_Battreal | UserName:LOKINO) :animselect
[0:3:29] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :is troll?
[0:3:32] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:3:34] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:3:38] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:3:38] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:3:38] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :recon
[0:3:42] (PlayerName:Lokino_Battreal | UserName:LOKINO) :animselect
[0:3:44] (PlayerName:Lokino_Battreal | UserName:LOKINO) :animselect
[0:3:45] (PlayerName:Yone_Fizi | UserName:shanki1z) :shake
[0:3:48] (PlayerName:Carlos_Delaro | UserName:Milfay11) :pay 35 200
[0:3:51] (PlayerName:Moza_Diaz | UserName:moza) :is kaydrb wst casinos
[0:3:52] (PlayerName:Mario_Latino | UserName:marouane) :ri 1
[0:3:55] (PlayerName:Mario_Latino | UserName:marouane) :ar 1
[0:3:56] (PlayerName:Carlos_Delaro | UserName:Milfay11) :pay 35 50
[0:3:59] (PlayerName:Carlos_Delaro | UserName:Milfay11) :pay 35 50
[0:3:59] (PlayerName:Moza_Diaz | UserName:moza) :status
[0:4:1] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:4:1] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:4:2] (PlayerName:Carlos_Delaro | UserName:Milfay11) :pay 35 50
[0:4:5] (PlayerName:Carlos_Delaro | UserName:Milfay11) :pay 35 50
[0:4:10] (PlayerName:Moza_Diaz | UserName:moza) :getveh 34
[0:4:10] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:4:10] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:4:11] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:4:11] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:4:12] (PlayerName:Moza_Diaz | UserName:moza) :getveh 434
[0:4:14] (PlayerName:Yone_Fizi | UserName:shanki1z) :animselect
[0:4:14] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:4:14] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:4:15] (PlayerName:Mario_Latino | UserName:marouane) :me kay transferer ls photo mn lcamera l pc
[0:4:16] (PlayerName:Mario_Latino | UserName:marouane) :supervise
[0:4:18] (PlayerName:Mario_Latino | UserName:marouane) :gduty
[0:4:18] (PlayerName:Mario_Latino | UserName:marouane) :supervise
[0:4:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:4:25] (PlayerName:Yone_Fizi | UserName:shanki1z) :animselect
[0:4:26] (PlayerName:Mario_Latino | UserName:marouane) :goto 4
[0:4:27] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:4:27] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:4:31] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:4:31] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:4:32] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:4:33] (PlayerName:Paul_Robert | UserName:Adnane) :ooc
[0:4:34] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:4:37] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:4:41] (PlayerName:Mario_Latino | UserName:marouane) :gotoveh 353
[0:4:44] (PlayerName:Yone_Fizi | UserName:shanki1z) :shake
[0:4:45] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:4:47] (PlayerName:Paul_Robert | UserName:Adnane) :ooc
[0:4:49] (PlayerName:Mario_Latino | UserName:marouane) :goto 4
[0:4:49] (PlayerName:Fayyo_Sky | UserName:Fayyo) :status
[0:4:50] (PlayerName:Yone_Fizi | UserName:shanki1z) :shake
[0:4:52] (PlayerName:Paul_Robert | UserName:Adnane) :ooc
[0:5:2] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:5:4] (PlayerName:Mario_Latino | UserName:marouane) :getveh 352
[0:5:5] (PlayerName:Moza_Diaz | UserName:moza) :fish
[0:5:6] (PlayerName:Fayyo_Sky | UserName:Fayyo) :me ki9lb jibo/kaysdo
[0:5:7] (PlayerName:Mario_Latino | UserName:marouane) :cr 1
[0:5:8] (PlayerName:Yone_Fizi | UserName:shanki1z) :shake
[0:5:10] (PlayerName:Paul_Robert | UserName:Adnane) :er
[0:5:11] (PlayerName:Mario_Latino | UserName:marouane) :gotoveh 17
[0:5:12] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:5:14] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:5:15] (PlayerName:Mario_Latino | UserName:marouane) :gotoveh 19
[0:5:18] (PlayerName:Yone_Fizi | UserName:shanki1z) :shake
[0:5:19] (PlayerName:Carlos_Delaro | UserName:Milfay11) :friends
[0:5:21] (PlayerName:Carlos_Delaro | UserName:Milfay11) :friends
[0:5:21] (PlayerName:Mario_Latino | UserName:marouane) :gduty
[0:5:24] (PlayerName:Mario_Latino | UserName:marouane) :me kay transferer ls photo mn lcamera l pc
[0:5:25] (PlayerName:Inzo_Martino | UserName:INZO) :piss
[0:5:25] (PlayerName:Mario_Latino | UserName:marouane) :supervise
[0:5:27] (PlayerName:Mario_Latino | UserName:marouane) :gduty
[0:5:28] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :unjaul 13
[0:5:28] (PlayerName:Mario_Latino | UserName:marouane) :me kay transferer ls photo mn lcamera l pc
[0:5:29] (PlayerName:Mario_Latino | UserName:marouane) :supervise
[0:5:29] (PlayerName:Lokino_Battreal | UserName:LOKINO) :animselect
[0:5:30] (PlayerName:Mario_Latino | UserName:marouane) :gduty
[0:5:31] (PlayerName:Lokino_Battreal | UserName:LOKINO) :animselect
[0:5:37] (PlayerName:Paul_Robert | UserName:Adnane) :tweet
[0:5:49] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :unjail 13
[0:5:51] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :goto 13
[0:5:53] (PlayerName:Josef_Descender | UserName:N1CHO) :reprot
[0:5:54] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:5:55] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:5:55] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:5:56] (PlayerName:Josef_Descender | UserName:N1CHO) :report
[0:6:1] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:3] (PlayerName:Josef_Descender | UserName:N1CHO) :report
[0:6:4] (PlayerName:Yone_Fizi | UserName:shanki1z) :animselect
[0:6:5] (PlayerName:Anwar_Car | UserName:AnwarCar) :quitjob
[0:6:5] (PlayerName:Carlos_Delaro | UserName:Milfay11) :pay 35 50
[0:6:7] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :goto 13
[0:6:9] (PlayerName:Paul_Robert | UserName:Adnane) :staff
[0:6:11] (PlayerName:Moza_Diaz | UserName:moza) :ri 1
[0:6:14] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :f ajii 
[0:6:18] (PlayerName:Mario_Latino | UserName:marouane) :ar 1
[0:6:18] (PlayerName:Paul_Robert | UserName:Adnane) :f ana?
[0:6:19] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :f rjer 
[0:6:19] (PlayerName:Bruce_Parker | UserName:abdouzaza) :f nrjaa dep?
[0:6:20] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:20] (PlayerName:Mario_Latino | UserName:marouane) :ar 2
[0:6:21] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:23] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:23] (PlayerName:Mario_Latino | UserName:marouane) :goto 21
[0:6:23] (PlayerName:Yone_Fizi | UserName:shanki1z) :f anmchi nchri lma sfe
[0:6:25] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:25] (PlayerName:Carlos_Delaro | UserName:Milfay11) :pay 16 50
[0:6:27] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:27] (PlayerName:Mario_Latino | UserName:marouane) :me kay transferer ls photo mn lcamera l pc
[0:6:28] (PlayerName:Mario_Latino | UserName:marouane) :gduty
[0:6:32] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :aheal 13
[0:6:33] (PlayerName:Orland_Anderson | UserName:9wi9iza) :f oui belati daba nkherjo 
[0:6:38] (PlayerName:Yone_Fizi | UserName:shanki1z) :f ok 
[0:6:38] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :f wache raf triike
[0:6:39] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:41] (PlayerName:Josef_Descender | UserName:N1CHO) :pp
[0:6:42] (PlayerName:Mario_Latino | UserName:marouane) :cr 2
[0:6:42] (PlayerName:Bruce_Parker | UserName:abdouzaza) :f a
[0:6:43] (PlayerName:Anwar_Car | UserName:AnwarCar) :piss
[0:6:44] (PlayerName:Bruce_Parker | UserName:abdouzaza) :f ah
[0:6:48] (PlayerName:Bruce_Parker | UserName:abdouzaza) :f bghit ghandir patrouille
[0:6:51] (PlayerName:Anwar_Car | UserName:AnwarCar) :piss
[0:6:55] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:6:59] (PlayerName:Mario_Latino | UserName:marouane) :is
[0:7:1] (PlayerName:Yone_Fizi | UserName:shanki1z) :f ylh kharaaje bnadam
[0:7:3] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:5] (PlayerName:Mario_Latino | UserName:marouane) :respawn
[0:7:19] (PlayerName:Mario_Latino | UserName:marouane) :respawnveh 336
[0:7:25] (PlayerName:Mario_Latino | UserName:marouane) :getveh 336
[0:7:29] (PlayerName:Mario_Latino | UserName:marouane) :cr 1
[0:7:31] (PlayerName:Josef_Descender | UserName:N1CHO) :pp
[0:7:31] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:35] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :fixveh Marcus_Dawson
[0:7:36] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:7:36] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:7:37] (PlayerName:Mario_Latino | UserName:marouane) :goto
[0:7:39] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:7:41] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:46] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:7:52] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:7:52] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:7:56] (PlayerName:Mario_Latino | UserName:marouane) :gotoveh 19
[0:7:57] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:7:58] (PlayerName:Bruce_Parker | UserName:abdouzaza) :f drary goodnight
[0:8:0] (PlayerName:Yone_Fizi | UserName:shanki1z) :carry 3
[0:8:5] (PlayerName:Paul_Robert | UserName:Adnane) :f gn
[0:8:6] (PlayerName:Mario_Latino | UserName:marouane) :ar 1
[0:8:7] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:8:11] (PlayerName:LSRP_Player#6543 | UserName:) :KNCHOF LMIHFADA
[0:8:11] (PlayerName:LSRP_Player#6543 | UserName:) :me KNFTACH LMIHFADA
[0:8:11] (PlayerName:Mario_Latino | UserName:marouane) :goto 3
[0:8:12] (PlayerName:LSRP_Player#6543 | UserName:) :friends
[0:8:14] (PlayerName:Bruce_Parker | UserName:abdouzaza) :f thlaw
[0:8:16] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :f gn
[0:8:17] (PlayerName:LSRP_Player#6543 | UserName:santa) :friends
[0:8:17] (PlayerName:Moza_Diaz | UserName:moza) :piss
[0:8:18] (PlayerName:Josef_Descender | UserName:N1CHO) :pp
[0:8:19] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:8:23] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :GOTO CARLO
[0:8:26] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :GOTO 3
[0:8:26] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:8:26] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:8:27] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:8:29] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:8:29] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:8:35] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:8:36] (PlayerName:LSRP_Player#6543 | UserName:santa) :friends
[0:8:37] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:8:38] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :REVIVE 3
[0:8:38] (PlayerName:Fayyo_Sky | UserName:Fayyo) :pay 10 3000
[0:8:40] (PlayerName:LSRP_Player#6543 | UserName:santa) :friends
[0:8:41] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:8:43] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:8:47] (PlayerName:Mario_Latino | UserName:marouane) :cr 1
[0:8:47] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :gate
[0:8:47] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:8:50] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:8:51] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :AHEAL 35
[0:8:53] (PlayerName:Marcus_Dawson | UserName:MoroccanDude) :AHEAL 1
