[0:0:22] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:0:30] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:0:30] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:0:30] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:0:31] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:0:32] (PlayerName:Yone_Fizi | UserName:shanki1z) :gate
[0:0:56] (PlayerName:Cloniro_Alpirto | UserName:Omarsironi) :friends
[0:0:58] (PlayerName:Cloniro_Alpirto | UserName:Omarsironi) :friends
[0:1:32] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:33] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:33] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:33] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:34] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:34] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:34] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:34] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:34] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:34] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:1:34] (PlayerName:Mario_Latino | UserName:marouane) :me open/close the vehicle
[0:2:1] (PlayerName:Yone_Fizi | UserName:shanki1z) :fu
[0:2:37] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:2:37] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:2:37] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:2:43] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:2:43] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:2:43] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:2:43] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:2:43] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:2:43] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
[0:2:44] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:2:44] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:2:44] (PlayerName:Yone_Fizi | UserName:shanki1z) :me ki9alabjibi//kisadejibo
