[0:0:32] (PlayerName:Tim_Tebow | UserName:ilyaslol) :bacukup
[0:0:32] (PlayerName:Tim_Tebow | UserName:ilyaslol) :backup
[0:0:47] (PlayerName:Mohamed_Fergson | UserName:IMohProMC) :f aji
[0:1:4] (PlayerName:LSRP_Player#8909 | UserName:) :friends
[0:2:29] (PlayerName:Mohamed_Fergson | UserName:IMohProMC) :cc
[0:2:54] (PlayerName:Mohamed_Fergson | UserName:IMohProMC) :f anmchi n3s
[0:3:1] (PlayerName:Tim_Tebow | UserName:ilyaslol) :f go
[0:3:18] (PlayerName:Mohamed_Fergson | UserName:IMohProMC) :f pay pay 
[0:3:23] (PlayerName:Mohamed_Fergson | UserName:IMohProMC) :f Gn
[0:6:13] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:6:18] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:6:20] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:6:46] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:0] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:1] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:19] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:19] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:19] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:19] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:20] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:20] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:20] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:22] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:7:42] (PlayerName:Josef_Descender | UserName:N1CHO) :pp
[0:7:58] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:8:28] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:8:50] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:9:18] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:9:27] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:9:52] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:9:53] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:9:53] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:10:26] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:10:28] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:10:29] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:10:31] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:10:37] (PlayerName:LSRP_Player#8383 | UserName:) :friends
[0:10:37] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:10:37] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:10:37] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:10:55] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:11:32] (PlayerName:Carlos_Martino | UserName:PITADIN) :friends
[0:11:36] (PlayerName:Marco_Decaprio | UserName:younessaziz) :friends
[0:11:37] (PlayerName:Marco_Decaprio | UserName:younessaziz) :friends
[0:11:40] (PlayerName:Marco_Decaprio | UserName:younessaziz) :friends
[0:11:56] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:11:58] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:11:59] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:11:59] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:12:24] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:12:38] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:12:40] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:13:4] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:31] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:45] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:46] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:47] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:47] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:47] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:48] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:48] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:14:48] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:15:56] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:17:4] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:17:38] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:2] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:2] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:22] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:30] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:36] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:38] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:39] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:39] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:39] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:40] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:40] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:55] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:55] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:19:55] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:20:19] (PlayerName:Josef_Descender | UserName:N1CHO) :friends
[0:20:20] (PlayerName:Josef_Descender | UserName:N1CHO) :friends
[0:20:25] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:20:58] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:0] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:22] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:42] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:42] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:43] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:43] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:47] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:48] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:21:48] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:22:12] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:22:14] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:23:5] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:23:23] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:23:52] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:24:10] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:24:43] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:25:1] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:25:4] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:25:28] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:25:51] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:25:53] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:25:55] (PlayerName:Josef_Descender | UserName:N1CHO) :quickreply i
[0:26:12] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:26:39] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:26:40] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
[0:26:40] (PlayerName:Josef_Descender | UserName:N1CHO) :fish
