[0:0:0] (PlayerName:Santiago_Robet | UserName:abdelilah) :gate
[0:0:3] (PlayerName:Santiago_Robet | UserName:abdelilah) :gate
[0:0:12] (PlayerName:Mario_Robert | UserName:MARIO) :PM 43 7YD JAIL
[0:0:12] (PlayerName:Mario_Robert | UserName:MARIO) :PM 43 7YD JAIL
[0:0:12] (PlayerName:Mario_Robert | UserName:MARIO) :m n3as 3la Krchack ((/fallfront))
[0:0:12] (PlayerName:Mario_Robert | UserName:MARIO) :m n3as 3la Krchack ((/fallfront))
[0:0:13] (PlayerName:Mario_Robert | UserName:MARIO) :PM 43 7YD JAIL
[0:0:13] (PlayerName:Mario_Robert | UserName:MARIO) :m n3as 3la Krchack ((/fallfront))
[0:0:13] (PlayerName:Mario_Robert | UserName:MARIO) :m M3K L.S.P.D  W9F 3LA LIM WSKT L VEH !!!!!!!
[0:0:15] (PlayerName:Alexander_Cambradge | UserName:Hades) :backup
[0:0:15] (PlayerName:Mario_Robert | UserName:MARIO) :m M3K L.S.P.D  W9F 3LA LIM WSKT L VEH !!!!!!!
[0:0:17] (PlayerName:Benjamin_Flores | UserName:wael) :backup
[0:0:25] (PlayerName:Kane_Sanders | UserName:LasDos) :f hada plastic
[0:0:25] (PlayerName:Pedro_Gustavo | UserName:Rayner) :clearchat
[0:0:26] (PlayerName:Shaquille_James | UserName:Yasser) :ame Opens // Closes His Pockets
[0:0:28] (PlayerName:Shaquille_James | UserName:Yasser) :ame Opens // Closes His Pockets
[0:0:30] (PlayerName:Lopez_Gaviria | UserName:CHLH) :wait
[0:0:35] (PlayerName:Shaquille_James | UserName:Yasser) :ame Opens // Closes His Pockets
[0:0:38] (PlayerName:Shaquille_James | UserName:Yasser) :ame Opens // Closes His Pockets
[0:0:47] (PlayerName:Orlando_Mancini | UserName:nex) :admin
[0:0:48] (PlayerName:Alvaro_Martinez | UserName:DAOUDI) :clearchat
[0:0:51] (PlayerName:Jessie_Robert | UserName:sa9azo) :p 7na radin nbi3o
