[0:1:25] (PlayerName:Liliana_Scarlette | UserName:sparkley) :/fu
[0:1:35] (PlayerName:Liliana_Scarlette | UserName:sparkley) :/fu
[0:2:27] (PlayerName:Kane_Sanders | UserName:LasDos) :f we need money had sa3a
[0:2:40] (PlayerName:Kane_Sanders | UserName:LasDos) :f grape juice
[0:2:44] (PlayerName:Kane_Sanders | UserName:LasDos) :f labghito
[0:3:5] (PlayerName:Fred_Vargas | UserName:ExFIBO) :Me kijbed Sla7 Mn Mor Dhro
[0:4:15] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:5:6] (PlayerName:Denver_Morata | UserName:denver) :lay
[0:5:49] (PlayerName:Denver_Morata | UserName:denver) :status afk 
[0:7:8] (PlayerName:Kane_Sanders | UserName:LasDos) :f eminem 7biba
[0:7:45] (PlayerName:Liliana_Scarlette | UserName:sparkley) :f nadiiii hbiba eminem
[0:7:51] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:7:52] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:7:56] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:8:5] (PlayerName:Kane_Sanders | UserName:LasDos) :f idol since i was a lil mf
[0:8:50] (PlayerName:Liliana_Scarlette | UserName:sparkley) :/fu
[0:9:1] (PlayerName:Kane_Sanders | UserName:LasDos) :setjob Kane_Sanders barman
[0:9:5] (PlayerName:Liliana_Scarlette | UserName:sparkley) :/fu
[0:9:10] (PlayerName:Kane_Sanders | UserName:LasDos) :setjob
[0:9:15] (PlayerName:Kane_Sanders | UserName:LasDos) :setjob Kane_Sanders 11
[0:9:22] (PlayerName:Kane_Sanders | UserName:LasDos) :setjob Liliana_Scarlette 11
[0:10:46] (PlayerName:Fred_Vargas | UserName:ExFIBO) :f 3awdha 
[0:10:53] (PlayerName:Michael_Montana | UserName:Mezrari) :ads
[0:11:4] (PlayerName:Michael_Montana | UserName:Mezrari) :clearchat
[0:11:17] (PlayerName:Kane_Sanders | UserName:LasDos) :f chno 3ndo
[0:11:20] (PlayerName:Kane_Sanders | UserName:LasDos) :f fuck motor
