INSERT INTO `owl_logs` VALUES ('2021-09-02 18:22:06', '27', 'ac462', 'ac462;', 'Connected from 196.117.34.27 - 710186679DEF493F126A5FF4036D0902')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:22:50', '27', 'ac462', 'ac462;ch572;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:22:50', '27', 'ac462', 'ac462;ch572;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:23:19', '27', 'ac463', 'ac463;', 'Connected from 105.71.150.160 - E419C14BA48DB728EC9E33422437B292')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:25:21', '27', 'ac462', 'ac462;ch572;', 'Disconnected (Quit')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:25:26', '27', 'ac463', 'ac463;ch573;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:25:26', '27', 'ac463', 'ac463;ch573;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:25:50', '27', 'ac462', 'ac462;', 'Connected from 196.117.34.27 - 710186679DEF493F126A5FF4036D0902')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:25:58', '27', 'ac462', 'ac462;ch572;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:26:18', '27', 'ac464', 'ac464;', 'Connected from 105.157.171.69 - B286AA07FAA83D96FE933543C6526192')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:27:26', '27', 'ac464', 'ac464;ch574;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:27:26', '27', 'ac464', 'ac464;ch574;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:30:24', '27', 'ac465', 'ac465;', 'Connected from 196.206.68.44 - 7F3707543AA445EC1F81A41F09A7E893')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:33:01', '27', 'ac465', 'ac465;ch575;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:33:01', '27', 'ac465', 'ac465;ch575;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:40:55', '27', 'ac465', 'ac465;ch575;', 'Disconnected (Quit')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:41:31', '27', 'ac465', 'ac465;', 'Connected from 196.206.68.44 - 7F3707543AA445EC1F81A41F09A7E893')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:41:43', '27', 'ac465', 'ac465;ch575;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:53:09', '27', 'ac463', 'ac463;ch573;', 'Disconnected (Quit')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:53:11', '27', 'ac462', 'ac462;ch572;', 'Disconnected (Quit')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:53:30', '27', 'ac463', 'ac463;', 'Connected from 105.71.150.160 - E419C14BA48DB728EC9E33422437B292')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:53:38', '27', 'ac463', 'ac463;ch573;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 18:54:44', '7', 'ch575', 'ch575;ch574;ch573;', 'English: G')
